,Title,Published_date,Views,Likes,Comments,month
255,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05 20:26:36+00:00,1229,40,2,5
256,Should You Learn R for Data Science?,2019-04-25 15:00:01+00:00,20355,546,69,4
257,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18 15:00:14+00:00,46249,853,336,4
258,Work From Home Data Scientist: Day in the Life,2019-04-12 15:00:00+00:00,28009,761,101,4
259,Where to Look for Data Science Jobs,2019-03-29 16:00:01+00:00,2995,121,9,3
260,Data Science: Startup vs. Large Corporation,2019-03-21 17:00:01+00:00,2091,75,4,3
261,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16 14:00:04+00:00,6053,170,26,3
262,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09 21:58:10+00:00,4143,180,15,3
263,Why You DON'T Want to be a WFH Data Scientist,2019-03-03 22:14:01+00:00,793,33,12,3
264,Welcome To My Channel | Ken Jee | Data Science,2019-03-03 01:00:17+00:00,1417,35,8,3
265,Where YOU Should Start With Data Science Projects,2019-02-19 03:23:50+00:00,16021,329,17,2
266,Watch This Before Applying to Data Science Jobs,2019-02-04 23:40:34+00:00,1480,66,13,2
267,My Top 5 Data Science Resources for 2019,2019-01-05 22:07:08+00:00,3674,121,17,1
